,G,E,S
26/12/2016,0.006547699,0.000358258,0.003788965
27/12/2016,-0.061087437,-0.14533517,-0.032168252
28/12/2016,0.056479777,0.055558803,0.043519264
29/12/2016,-0.015040394,0.037049773,-0.016091994
30/12/2016,-0.008375778,0.025594781,0.016191172
4/1/2017,0,0,0
5/1/2017,-0.03319551,-0.045142846,-0.118195429
6/1/2017,0.022364919,-0.026294113,0.015295214
9/1/2017,0.078133354,0.106689424,0.078773476
10/1/2017,-0.076385198,-0.050454858,0.038193662
11/1/2017,0.008448911,-0.092672604,-0.069937571
12/1/2017,-0.045781902,0.103744551,0.05691181
16/1/2017,0.126650963,-0.052761539,-0.031130027
17/1/2017,-0.00702389,0.106059008,0.029927412
18/1/2017,-0.122864072,0.084815497,-0.049310465
19/1/2017,0.114804769,-0.003587152,-0.013308703
20/1/2017,0.086026917,0.012431408,-0.065094024
23/1/2017,0.001883579,-0.146682184,0.02285234
24/1/2017,0.033096438,0.152465741,0.178664796
25/1/2017,0.062992089,0.026182549,-0.068706584
26/1/2017,0.027774042,0.191140597,-0.011910327
27/1/2017,0.057120172,-0.034279405,-0.031137498
30/1/2017,-0.003977763,0.036710617,-0.119252394
31/1/2017,-0.089633025,0.008510059,0.012869185
1/2/2017,0.089372786,0.104626553,-0.033154215
2/2/2017,0.015805329,-0.059462989,0.043875121
3/2/2017,0.118824903,0.022373316,0.095540497
6/2/2017,0.16168988,0.220556963,0.161860172
7/2/2017,-0.073335391,-0.0680193,-0.124284817
8/2/2017,0.105525876,-0.013909376,0.080368742
9/2/2017,-0.120713087,-0.02195741,-0.004765898
10/2/2017,-0.025282483,-0.050186895,0.06112181
14/2/2017,0.016376085,-0.141328372,0.014234265
15/2/2017,-0.031734876,0.028500184,-0.057960854
16/2/2017,0.045706267,-0.035994035,-0.091536876
17/2/2017,0.044607859,0.107719246,0.110761984
20/2/2017,0.071616329,0.067205653,-0.025051457
21/2/2017,-0.089823911,0.048995919,-0.009849796
22/2/2017,0.023156637,-0.002526551,0.019813261
23/2/2017,0.042906567,0.03512605,0.156542243
24/2/2017,0.044033492,-0.075751597,-0.005708985
27/2/2017,-0.012949941,0.059578835,0.035984635
28/2/2017,0.063869875,0.212131912,0.040253479
1/3/2017,-0.000338404,0.094311439,-0.003736561
2/3/2017,-0.004161704,-0.040037112,-0.087119223
3/3/2017,0.066171229,0.022496942,0.092943585
